Date,Value
2022-01-01,7039
2022-01-02,6757
2022-01-03,4130
2022-01-04,5973
2022-01-05,4583
2022-01-06,4919
2022-01-07,6584
2022-01-08,6903
2022-01-09,5309
2022-01-10,4439
2022-01-11,4328
2022-01-12,4575
2022-01-13,4652
2022-01-14,6483
2022-01-15,6633
2022-01-16,5828
2022-01-17,4546
2022-01-18,3943
2022-01-19,5051
2022-01-20,4705
2022-01-21,6311
2022-01-22,6040
2022-01-23,6433
2022-01-24,3594
2022-01-25,4541
2022-01-26,4814
2022-01-27,5123
2022-01-28,5829
2022-01-29,7680
2022-01-30,6078
2022-01-31,4028
2022-02-01,1055
2022-02-02,4080
2022-02-03,6246
2022-02-04,6239
2022-02-05,6720
2022-02-06,6027
2022-02-07,4361
2022-02-08,3710
2022-02-09,4946
2022-02-10,5140
2022-02-11,7284
2022-02-12,7155
2022-02-13,5685
2022-02-14,5150
2022-02-15,4040
2022-02-16,5372
2022-02-17,5047
2022-02-18,7667
2022-02-19,6648
2022-02-20,6015
2022-02-21,3876
2022-02-22,4713
2022-02-23,5309
2022-02-24,5262
2022-02-25,6161
2022-02-26,6871
2022-02-27,4947
2022-02-28,4372
2022-03-01,4188
2022-03-02,4615
2022-03-03,5285
2022-03-04,7045
2022-03-05,7637
2022-03-06,6931
2022-03-07,5281
2022-03-08,4807
2022-03-09,6013
2022-03-10,5134
2022-03-11,7457
2022-03-12,7599
2022-03-13,6019
2022-03-14,4740
2022-03-15,5075
2022-03-16,5743
2022-03-17,5743
2022-03-18,7023
2022-03-19,5884
2022-03-20,6938
2022-03-21,5614
2022-03-22,5043
2022-03-23,5781
2022-03-24,6520
2022-03-25,6992
2022-03-26,8635
2022-03-27,5000
2022-03-28,4599
2022-03-29,4967
2022-03-30,5138
2022-03-31,4902
2022-04-01,16701
2022-04-02,6999
2022-04-03,6251
2022-04-04,5340
2022-04-05,4690
2022-04-06,5492
2022-04-07,5718
2022-04-08,7135
2022-04-09,21946
2022-04-10,6677
2022-04-11,4733
2022-04-12,5076
2022-04-13,5550
2022-04-14,5332
2022-04-15,6797
2022-04-16,8156
2022-04-17,6008
2022-04-18,4878
2022-04-19,5500
2022-04-20,5699
2022-04-21,4720
2022-04-22,7784
2022-04-23,7369
2022-04-24,6767
2022-04-25,5027
2022-04-26,5733
2022-04-27,5637
2022-04-28,5411
2022-04-29,7857
2022-04-30,8030
2022-05-01,6770
2022-05-02,14504
2022-05-03,4914
2022-05-04,5687
2022-05-05,5919
2022-05-06,6710
2022-05-07,8732
2022-05-08,6669
2022-05-09,5151
2022-05-10,5338
2022-05-11,6238
2022-05-12,5540
2022-05-13,6921
2022-05-14,7034
2022-05-15,6334
2022-05-16,5575
2022-05-17,6086
2022-05-18,5410
2022-05-19,6231
2022-05-20,7399
2022-05-21,9574
2022-05-22,6623
2022-05-23,4613
2022-05-24,5737
2022-05-25,6047
2022-05-26,6352
2022-05-27,8306
2022-05-28,7444
2022-05-29,6337
2022-05-30,5277
2022-05-31,5752
2022-06-01,5205
2022-06-02,6151
2022-06-03,7962
2022-06-04,20464
2022-06-05,7727
2022-06-06,5230
2022-06-07,5846
2022-06-08,6576
2022-06-09,5315
2022-06-10,7564
2022-06-11,8159
2022-06-12,6018
2022-06-13,4749
2022-06-14,5518
2022-06-15,6167
2022-06-16,5923
2022-06-17,6806
2022-06-18,8092
2022-06-19,6831
2022-06-20,6235
2022-06-21,5689
2022-06-22,6351
2022-06-23,6480
2022-06-24,9322
2022-06-25,8764
2022-06-26,6581
2022-06-27,19371
2022-06-28,5691
2022-06-29,6621
2022-06-30,6137
2022-07-01,8582
2022-07-02,8235
2022-07-03,7273
2022-07-04,5132
2022-07-05,5620
2022-07-06,5325
2022-07-07,7063
2022-07-08,7062
2022-07-09,9930
2022-07-10,7063
2022-07-11,6479
2022-07-12,6731
2022-07-13,15508
2022-07-14,6397
2022-07-15,1488
2022-07-16,9657
2022-07-17,8141
2022-07-18,6282
2022-07-19,5678
2022-07-20,22644
2022-07-21,7401
2022-07-22,8073
2022-07-23,8539
2022-07-24,7586
2022-07-25,5646
2022-07-26,5583
2022-07-27,6543
2022-07-28,7701
2022-07-29,8425
2022-07-30,8740
2022-07-31,7937
2022-08-01,5735
2022-08-02,6168
2022-08-03,6438
2022-08-04,6409
2022-08-05,8737
2022-08-06,9713
2022-08-07,7762
2022-08-08,5548
2022-08-09,5797
2022-08-10,5616
2022-08-11,7332
2022-08-12,8422
2022-08-13,8039
2022-08-14,7927
2022-08-15,5383
2022-08-16,1087
2022-08-17,6639
2022-08-18,6847
2022-08-19,7949
2022-08-20,8016
2022-08-21,8505
2022-08-22,5674
2022-08-23,5595
2022-08-24,6343
2022-08-25,6270
2022-08-26,9917
2022-08-27,8526
2022-08-28,7493
2022-08-29,6065
2022-08-30,6418
2022-08-31,6209
2022-09-01,6345
2022-09-02,27336
2022-09-03,9269
2022-09-04,7278
2022-09-05,5812
2022-09-06,6349
2022-09-07,7033
2022-09-08,7164
2022-09-09,9167
2022-09-10,9596
2022-09-11,7398
2022-09-12,4822
2022-09-13,6697
2022-09-14,6325
2022-09-15,7060
2022-09-16,8893
2022-09-17,9141
2022-09-18,8685
2022-09-19,6294
2022-09-20,6674
2022-09-21,6345
2022-09-22,7179
2022-09-23,8877
2022-09-24,10201
2022-09-25,7778
2022-09-26,6057
2022-09-27,7111
2022-09-28,6551
2022-09-29,6096
2022-09-30,8942
2022-10-01,11506
2022-10-02,8070
2022-10-03,5990
2022-10-04,6931
2022-10-05,6558
2022-10-06,6644
2022-10-07,8585
2022-10-08,9632
2022-10-09,7643
2022-10-10,5875
2022-10-11,6719
2022-10-12,7476
2022-10-13,7627
2022-10-14,9273
2022-10-15,9198
2022-10-16,8492
2022-10-17,6781
2022-10-18,5793
2022-10-19,7117
2022-10-20,7973
2022-10-21,9988
2022-10-22,9019
2022-10-23,8388
2022-10-24,6102
2022-10-25,6868
2022-10-26,7608
2022-10-27,7441
2022-10-28,10025
2022-10-29,11260
2022-10-30,7225
2022-10-31,6784
2022-11-01,6876
2022-11-02,7472
2022-11-03,7137
2022-11-04,9251
2022-11-05,10107
2022-11-06,7743
2022-11-07,6579
2022-11-08,6430
2022-11-09,6036
2022-11-10,5993
2022-11-11,9154
2022-11-12,10228
2022-11-13,9224
2022-11-14,6805
2022-11-15,6130
2022-11-16,7081
2022-11-17,7880
2022-11-18,9471
2022-11-19,10487
2022-11-20,8640
2022-11-21,6599
2022-11-22,6884
2022-11-23,7938
2022-11-24,6985
2022-11-25,8858
2022-11-26,10734
2022-11-27,7833
2022-11-28,6320
2022-11-29,6628
2022-11-30,7996
2022-12-01,8217
2022-12-02,10001
2022-12-03,8480
2022-12-04,8481
2022-12-05,6295
2022-12-06,6707
2022-12-07,7887
2022-12-08,7526
2022-12-09,9164
2022-12-10,11803
2022-12-11,8539
2022-12-12,7105
2022-12-13,6338
2022-12-14,7550
2022-12-15,8056
2022-12-16,9579
2022-12-17,10173
2022-12-18,7398
2022-12-19,6920
2022-12-20,6801
2022-12-21,7825
2022-12-22,7391
2022-12-23,9244
2022-12-24,12135
2022-12-25,8155
2022-12-26,6743
2022-12-27,8101
2022-12-28,7028
2022-12-29,7989
2022-12-30,9346
2022-12-31,10251
2023-01-01,8820
2023-01-02,6054
2023-01-03,7403
2023-01-04,7532
2023-01-05,7764
2023-01-06,11113
2023-01-07,12598
2023-01-08,9332
2023-01-09,7166
2023-01-10,7388
2023-01-11,6932
2023-01-12,8128
2023-01-13,10937
2023-01-14,11767
2023-01-15,7840
2023-01-16,26519
2023-01-17,6921
2023-01-18,7124
2023-01-19,8384
2023-01-20,10819
2023-01-21,10942
2023-01-22,7741
2023-01-23,7399
2023-01-24,7221
2023-01-25,7671
2023-01-26,7965
2023-01-27,11829
2023-01-28,10741
2023-01-29,8568
2023-01-30,7115
2023-01-31,7605
2023-02-01,8267
2023-02-02,7763
2023-02-03,9862
2023-02-04,11061
2023-02-05,9186
2023-02-06,6737
2023-02-07,7249
2023-02-08,8133
2023-02-09,7764
2023-02-10,10731
2023-02-11,11045
2023-02-12,9148
2023-02-13,6590
2023-02-14,7486
2023-02-15,8308
2023-02-16,7655
2023-02-17,9878
2023-02-18,12706
2023-02-19,9249
2023-02-20,6792
2023-02-21,7265
2023-02-22,7859
2023-02-23,8168
2023-02-24,35606
2023-02-25,10596
2023-02-26,9618
2023-02-27,7033
2023-02-28,8131
2023-03-01,8846
2023-03-02,1970
2023-03-03,11021
2023-03-04,10746
2023-03-05,9185
2023-03-06,7066
2023-03-07,7979
2023-03-08,7763
2023-03-09,8445
2023-03-10,9316
2023-03-11,12889
2023-03-12,8698
2023-03-13,7326
2023-03-14,7726
2023-03-15,7348
2023-03-16,8327
2023-03-17,10712
2023-03-18,11471
2023-03-19,9314
2023-03-20,6638
2023-03-21,6853
2023-03-22,8059
2023-03-23,8918
2023-03-24,10886
2023-03-25,11271
2023-03-26,9358
2023-03-27,7086
2023-03-28,7725
2023-03-29,8961
2023-03-30,8102
2023-03-31,10345
2023-04-01,11273
2023-04-02,8171
2023-04-03,7303
2023-04-04,8081
2023-04-05,8365
2023-04-06,7733
2023-04-07,11666
2023-04-08,12033
2023-04-09,9946
2023-04-10,8134
2023-04-11,8053
2023-04-12,9453
2023-04-13,7515
2023-04-14,10249
2023-04-15,11922
2023-04-16,9556
2023-04-17,8008
2023-04-18,7544
2023-04-19,7427
2023-04-20,8835
2023-04-21,41311
2023-04-22,11391
2023-04-23,10180
2023-04-24,7641
2023-04-25,8583
2023-04-26,8300
2023-04-27,8534
2023-04-28,10625
2023-04-29,11564
2023-04-30,9850
2023-05-01,7621
2023-05-02,8529
2023-05-03,8079
2023-05-04,8766
2023-05-05,11886
2023-05-06,11749
2023-05-07,10119
2023-05-08,7870
2023-05-09,8003
2023-05-10,7895
2023-05-11,9111
2023-05-12,11158
2023-05-13,12505
2023-05-14,10503
2023-05-15,7131
2023-05-16,7899
2023-05-17,8392
2023-05-18,9367
2023-05-19,11705
2023-05-20,12542
2023-05-21,10387
2023-05-22,6992
2023-05-23,8421
2023-05-24,8717
2023-05-25,9241
2023-05-26,11429
2023-05-27,11982
2023-05-28,26660
2023-05-29,7934
2023-05-30,7864
2023-05-31,8751
2023-06-01,9734
2023-06-02,11737
2023-06-03,11414
2023-06-04,9864
2023-06-05,7805
2023-06-06,8192
2023-06-07,9168
2023-06-08,8886
2023-06-09,11382
2023-06-10,12225
2023-06-11,9411
2023-06-12,7817
2023-06-13,9117
2023-06-14,9033
2023-06-15,8996
2023-06-16,12689
2023-06-17,2181
2023-06-18,10639
2023-06-19,7888
2023-06-20,8367
2023-06-21,8077
2023-06-22,8402
2023-06-23,2302
2023-06-24,13064
2023-06-25,10243
2023-06-26,7863
2023-06-27,8832
2023-06-28,8351
2023-06-29,9876
2023-06-30,10615
2023-07-01,13165
2023-07-02,10124
2023-07-03,8339
2023-07-04,7995
2023-07-05,9112
2023-07-06,9290
2023-07-07,10859
2023-07-08,13126
2023-07-09,9766
2023-07-10,7788
2023-07-11,8030
2023-07-12,8440
2023-07-13,9452
2023-07-14,11805
2023-07-15,12851
2023-07-16,10578
2023-07-17,8727
2023-07-18,9342
2023-07-19,10284
2023-07-20,9454
2023-07-21,11215
2023-07-22,13496
2023-07-23,9678
2023-07-24,8029
2023-07-25,8553
2023-07-26,9556
2023-07-27,10217
2023-07-28,11885
2023-07-29,12864
2023-07-30,10888
2023-07-31,8461
2023-08-01,8867
2023-08-02,9097
2023-08-03,8890
2023-08-04,11261
2023-08-05,13384
2023-08-06,11319
2023-08-07,2962
2023-08-08,8812
2023-08-09,8538
2023-08-10,10149
2023-08-11,12062
2023-08-12,13552
2023-08-13,10103
2023-08-14,8063
2023-08-15,8992
2023-08-16,9420
2023-08-17,10344
2023-08-18,11789
2023-08-19,12368
2023-08-20,10576
2023-08-21,8689
2023-08-22,9246
2023-08-23,9988
2023-08-24,9761
2023-08-25,13204
2023-08-26,12851
2023-08-27,10697
2023-08-28,8004
2023-08-29,2837
2023-08-30,8379
2023-08-31,9015
2023-09-01,11486
2023-09-02,13135
2023-09-03,1812
2023-09-04,8702
2023-09-05,8208
2023-09-06,9469
2023-09-07,8572
2023-09-08,10755
2023-09-09,13369
2023-09-10,11328
2023-09-11,8803
2023-09-12,8812
2023-09-13,9595
2023-09-14,8716
2023-09-15,13812
2023-09-16,13593
2023-09-17,11692
2023-09-18,8841
2023-09-19,8811
2023-09-20,9493
2023-09-21,10288
2023-09-22,11702
2023-09-23,12773
2023-09-24,12179
2023-09-25,9261
2023-09-26,8397
2023-09-27,9692
2023-09-28,10178
2023-09-29,11935
2023-09-30,13663
2023-10-01,11163
2023-10-02,8527
2023-10-03,8484
2023-10-04,10131
2023-10-05,10114
2023-10-06,12126
2023-10-07,14366
2023-10-08,11151
2023-10-09,8103
2023-10-10,32374
2023-10-11,8982
2023-10-12,9503
2023-10-13,13124
2023-10-14,13856
2023-10-15,10646
2023-10-16,7702
2023-10-17,9621
2023-10-18,9255
2023-10-19,10760
2023-10-20,12312
2023-10-21,12793
2023-10-22,10785
2023-10-23,8498
2023-10-24,10343
2023-10-25,9635
2023-10-26,10599
2023-10-27,12838
2023-10-28,13847
2023-10-29,12810
2023-10-30,9518
2023-10-31,8990
2023-11-01,9379
2023-11-02,10711
2023-11-03,13917
2023-11-04,14794
2023-11-05,10471
2023-11-06,9506
2023-11-07,9492
2023-11-08,9794
2023-11-09,9432
2023-11-10,13268
2023-11-11,14064
2023-11-12,11135
2023-11-13,1639
2023-11-14,9410
2023-11-15,9121
2023-11-16,9488
2023-11-17,13539
2023-11-18,13960
2023-11-19,10877
2023-11-20,9008
2023-11-21,9003
2023-11-22,9972
2023-11-23,9429
2023-11-24,13483
2023-11-25,13518
2023-11-26,11729
2023-11-27,8241
2023-11-28,9898
2023-11-29,10675
2023-11-30,10654
2023-12-01,14342
2023-12-02,13658
2023-12-03,11993
2023-12-04,8928
2023-12-05,8777
2023-12-06,10549
2023-12-07,10533
2023-12-08,12474
2023-12-09,13935
2023-12-10,36160
2023-12-11,9735
2023-12-12,9210
2023-12-13,11240
2023-12-14,10897
2023-12-15,12949
2023-12-16,14371
2023-12-17,11410
2023-12-18,8625
2023-12-19,9731
2023-12-20,9678
2023-12-21,11397
2023-12-22,13857
2023-12-23,14288
2023-12-24,12017
2023-12-25,10068
2023-12-26,9553
2023-12-27,38157
2023-12-28,10568
2023-12-29,13386
2023-12-30,13880
2023-12-31,12408
